route_ordinal,stage_ordinal,stage_id,stage_title,stage_level,stage_where,stage_combo,quest_ordinal_in_stage,route_name,route_type,route_number,route_level,minimum_level,friend_reward,friend_experience,friend_geons,friend_contribution,friend_skill_points,reward_is_approximate,items_json,monsters_json,steps_json,legacy_type,legacy_id,legacy_name,legacy_match_method,bango_que_id,bango_name,bango_level,bango_experience,bango_contribution,bango_skill_points,bango_prerequisite,bango_steps_raw,match_method,match_score,match_candidates,level_disagrees,experience_disagrees,contribution_disagrees,skill_points_disagree,status,effective_level,effective_experience,effective_contribution,effective_skill_points
22,15,s1-15,Stage 15 — General Sae-Won’s chain,Lv 21-25,"Jook-Suh only — same NPC, three separate visits as you level up.",,1,Quest 17,Quest,17,Lv 21,21,"10,985 XP, 1 Contribution Point",10985,0,1,0,false,"[""17.png""]","[""ms_m3_07.jpg""]","[{""type"":""talk"",""city"":""jook"",""pin"":""10"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Demon Flag Bearers for 35x \""Red Flag\""""},{""type"":""talk"",""city"":""jook"",""pin"":""10"",""label"":""Turn in""}]",Quest,17,Getting Red Flags,route-number-to-legacy-name,17,Getting Red Flags,21,8500,1,0,12,"The general, Sae-Won command you to take the demon's red flags. Collect 35 red flags and give them to the general, Sae-Won.|161:35",exact-normalized-name,0.880,,false,true,false,false,matched-disagrees,21,8500,1,0
23,15,s1-15,Stage 15 — General Sae-Won’s chain,Lv 21-25,"Jook-Suh only — same NPC, three separate visits as you level up.",,2,Quest 18,Quest,18,Lv 23,23,"21,610 XP, 1 Contribution Point",21610,0,1,0,false,"[""18.png""]","[""ms_m4_01.jpg""]","[{""type"":""talk"",""city"":""jook"",""pin"":""10"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Demon Water Dragons for 35x \""Demon Water Dragon Head\""""},{""type"":""talk"",""city"":""jook"",""pin"":""10"",""label"":""Turn in""}]",Quest,18,Beheading the Demon Water Dragon,route-number-to-legacy-name,18,Beheading the Demon Water Dragon,23,10000,1,0,17,"For improving the morale of our soldiers, bring 35 heads of the demon water dragons and give them to the general, Sae-Won in Jook-Suh Cargo Station.|162:35",exact-normalized-name,0.873,,false,true,false,false,matched-disagrees,23,10000,1,0
24,15,s1-15,Stage 15 — General Sae-Won’s chain,Lv 21-25,"Jook-Suh only — same NPC, three separate visits as you level up.",,3,Quest 19,Quest,19,Lv 25,25,"19,440 XP, 1 Skill Point",19440,0,0,1,false,"[""19.png""]","[""ms_m3_08.jpg""]","[{""type"":""talk"",""city"":""jook"",""pin"":""10"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Demon Band for 40x \""Demon’s Drum\""""},{""type"":""talk"",""city"":""jook"",""pin"":""10"",""label"":""Turn in""}]",Quest,19,Demon's Drum,route-number-to-legacy-name,19,Demon's Drum,25,12000,0,1,18,"The general, Sae-Wo retreated from the battle because the demon's drum discouraged his soldiers. Collect 40 demon's drums and give them to the general, Sae-Won.|165:40",exact-normalized-name,0.867,,false,true,false,false,matched-disagrees,25,12000,0,1
25,16,s2-1,Stage 1 — Jook-Suh solo run,Lv 26-29,"Jook-Suh Cargo Station only — same routine, four times in a row.",,1,Quest 20,Quest,20,Lv 26,26,"23,056 XP, 1 Contribution Point",23056,0,1,0,false,"[""20.png""]","[""ms_m3_09.jpg""]","[{""type"":""talk"",""city"":""jook"",""pin"":""5"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Demon Armored Knight for 40x \""Demon’s Armor\""""},{""type"":""talk"",""city"":""jook"",""pin"":""5"",""label"":""Turn in""}]",Quest,20,Collecting Armors,route-number-to-legacy-name,20,Collecting Armor,26,21750,1,0,12,"Many soldiers retreated without their armor, so many suits of armor are required. Hunt the Demon armored knight and collect 40 armor items and bring them to the Chief Guard [Guh-Sosun] in Jook-Suh Cargo Station.|166:40",name-content-and-level,0.582,,false,true,false,false,matched-disagrees,26,21750,1,0
26,16,s2-1,Stage 1 — Jook-Suh solo run,Lv 26-29,"Jook-Suh Cargo Station only — same routine, four times in a row.",,2,Quest 21,Quest,21,Lv 27,27,"24,298 XP, 1 Skill Point, 1 Contribution Point",24298,0,1,1,false,"[""21.png""]","[""ms_m4_02.jpg""]","[{""type"":""talk"",""city"":""jook"",""pin"":""1"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Hungry Demon Water Dragon for 40x \""Bloodstained Clothes\""""},{""type"":""talk"",""city"":""jook"",""pin"":""1"",""label"":""Turn in""}]",Quest,21,Collecting Clothes that are Stained with Blood,route-number-to-legacy-name,21,Collecting Clothes Stained with Blood,27,16300,1,1,7,"The guard, Won-Jung wants to collect his friend's clothes to perform a religious service. Hunt the Hungry Demon Water Dragon and collect 40 clothes and bring them to Won-Jung.|167:40",name-content-and-level,0.718,,false,true,false,false,matched-disagrees,27,16300,1,1
27,16,s2-1,Stage 1 — Jook-Suh solo run,Lv 26-29,"Jook-Suh Cargo Station only — same routine, four times in a row.",,3,Quest 22,Quest,22,Lv 28,28,"28,207 XP, 1 Skill Point, 1 Contribution Point",28207,0,1,1,false,"[""22.png""]","[""ms_m4_03.jpg""]","[{""type"":""talk"",""city"":""jook"",""pin"":""5"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Demon Water Dragon Predator for 40x \""Demon Water Dragon Skin\""""},{""type"":""talk"",""city"":""jook"",""pin"":""5"",""label"":""Turn in""}]",Quest,22,Materials of Winter Clothes,route-number-to-legacy-name,22,Materials of Winter Clothes,28,19000,1,1,20,"The chief guard, Guh-Sosun wants to make winter clothes for his soldiers. Hunt the Demon water dragon predator and collect 40 demon water dragon predator skins and bring them to Guh-Sosun.|164:40",exact-normalized-name,0.845,,false,true,false,false,matched-disagrees,28,19000,1,1
28,16,s2-1,Stage 1 — Jook-Suh solo run,Lv 26-29,"Jook-Suh Cargo Station only — same routine, four times in a row.",,4,Quest 23,Quest,23,Lv 29,29,"28,510 XP, 1 Skill Point, 1 Contribution Point",28510,0,1,1,false,"[""23.png""]","[""ms_m3_10.jpg""]","[{""type"":""talk"",""city"":""jook"",""pin"":""10"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Demon Mad Knight for 40x \""Demon Mad Knight Head\""""},{""type"":""talk"",""city"":""jook"",""pin"":""10"",""label"":""Turn in""}]",Quest,23,Hunting the Demon Mad Knight,route-number-to-legacy-name,23,Hunting the Demon Mad Knight,29,22000,1,1,19,"The general, Sae-Won ask you to hunt the Demon mad knight. Hunt the Demon mad knight and collect 40 heads and bring them to General [Sae-Won].|163:40",exact-normalized-name,0.850,,false,true,false,false,matched-disagrees,29,22000,1,1
29,17,s2-2,Stage 2 — Job Change #1 + Trinket’s Quest,Lv 30,"Geum-Oh Mine, then the Fort — this is a big milestone stage.","Event Quest 8 is your <b>1st Job Change</b> — do this as soon as you hit 30. Its ""Demon Commander’s Head"" drops from the same Demon Commander that Quest 27 (Stage 3) needs later, so if you’re farming here anyway, grab extras.",1,Quest 24,Quest,24,Lv 30,30,"~30,000 XP, 1 Contribution Point",30000,0,1,0,true,"[""24.png""]","[""ms_m5_01.jpg""]","[{""type"":""talk"",""city"":""fort"",""pin"":""51"",""label"":""Talk""},{""type"":""talk"",""city"":""wild"",""pin"":""p7"",""label"":""Talk""},{""type"":""action"",""text"":""Find \""Moon-Hee’s Doll\"" from Castoff Baby Ghost""},{""type"":""talk"",""city"":""wild"",""pin"":""p7"",""label"":""Turn in""}]",Quest,24,Moon-Hee Who Became a Ghost,route-number-to-legacy-name,27,Moon-Hee Who Became a Ghost,30,29000,1,0,,"Moon-Hee's mother in Temporary Fort of Geum-Ohee Castle said that Moon-Yoo follows his sister's voice and walks through the Temporary Fort of Geum-Ohee Castle without intention. Find where the voice comes.|;Moon-Hee, the ghost curses her mother and brother.  Find out Moon-Hee占쏙옙s Doll burned with herself from Castoff Baby Ghost and bring it to Moon-Hee in Temporary Fort of Geum-Ohee Castle.|",exact-normalized-name,0.839,,false,true,false,false,matched-disagrees,30,29000,1,0
30,17,s2-2,Stage 2 — Job Change #1 + Trinket’s Quest,Lv 30,"Geum-Oh Mine, then the Fort — this is a big milestone stage.","Event Quest 8 is your <b>1st Job Change</b> — do this as soon as you hit 30. Its ""Demon Commander’s Head"" drops from the same Demon Commander that Quest 27 (Stage 3) needs later, so if you’re farming here anyway, grab extras.",2,Event Quest 8 — 1st Job Change,Event,8,Lv 30,30,"10,000 XP + 1st Job Change",10000,0,0,0,false,"[""ev4.png""]","[""ms_m3_11.jpg""]","[{""type"":""talk"",""city"":""geum"",""pin"":""1"",""label"":""Talk""},{""type"":""action"",""text"":""Try to get \""Demon Commander’s Head\"" from Demon Commander first, to save a trip""},{""type"":""talk"",""city"":""geum"",""pin"":""28"",""label"":""Talk""},{""type"":""action"",""text"":""Find \""Demon Commander’s Head\"" if you don’t have it yet""},{""type"":""talk"",""city"":""geum"",""pin"":""28"",""label"":""Turn in — pick your job""}]",Event,06,Entering the Government Service /a,route-content-and-level-to-legacy-event-name,9004,[Event] Entering the Government Service!,30,40000,0,0,9003,"HyungJoo-SeungGong recommended you for  entering the government service. Now you became an Apprentice in Naraeha. Meet the lord, Jin-Pyung in Geum-Oh Mine. He'll help you to enter the government service.|;Lord, Jin-Pyung gives you a final mission for the government post. Get the Head of the Demon Commander and prove your ability. Then, he finally give you the government position.|181:1",name-content-and-level,0.717,,false,true,false,false,matched-disagrees,30,40000,0,0
31,17,s2-2,Stage 2 — Job Change #1 + Trinket’s Quest,Lv 30,"Geum-Oh Mine, then the Fort — this is a big milestone stage.","Event Quest 8 is your <b>1st Job Change</b> — do this as soon as you hit 30. Its ""Demon Commander’s Head"" drops from the same Demon Commander that Quest 27 (Stage 3) needs later, so if you’re farming here anyway, grab extras.",3,Event Quest 9 — Trinket’s Quest,Event,9,Lv 30,30,"~24,000 XP + Apprentice Trinket",24000,0,0,0,true,"[""26.png"",""37.png"",""ev5_2.png"",""ev5_3.png""]","[""ms_m5_01.jpg"",""ms_m5_02.jpg"",""ms_m5_03.jpg"",""ms_m5_04.jpg""]","[{""type"":""talk"",""city"":""fort"",""pin"":""59"",""label"":""Talk""},{""type"":""talk"",""city"":""fort"",""pin"":""16"",""label"":""Talk""},{""type"":""action"",""text"":""Find 100x \""Sealed Talisman with Spirits\"" from any Ghosts""},{""type"":""talk"",""city"":""fort"",""pin"":""16"",""label"":""Report""},{""type"":""talk"",""city"":""fort"",""pin"":""20"",""label"":""Talk""},{""type"":""talk"",""city"":""fort"",""pin"":""23"",""label"":""Talk""},{""type"":""talk"",""city"":""fort"",""pin"":""6"",""label"":""Talk""},{""type"":""talk"",""city"":""fort"",""pin"":""5"",""label"":""Talk""},{""type"":""talk"",""city"":""fort"",""pin"":""20"",""label"":""Talk""},{""type"":""action"",""text"":""Find one head each: Devil Soldier, Devil Soldier Twin Blades, Devil Soldier Bow, Devil Soldier Sword, Devil Soldier Spear, Devil Soldier Sub-boss, 1st Devil Monster""},{""type"":""talk"",""city"":""fort"",""pin"":""20"",""label"":""Turn in (talk twice)""}]",Event,09,Entering the Government Service /d,route-content-and-level-to-legacy-event-name,9004,[Event] Entering the Government Service!,30,40000,0,0,9003,"HyungJoo-SeungGong recommended you for  entering the government service. Now you became an Apprentice in Naraeha. Meet the lord, Jin-Pyung in Geum-Oh Mine. He'll help you to enter the government service.|;Lord, Jin-Pyung gives you a final mission for the government post. Get the Head of the Demon Commander and prove your ability. Then, he finally give you the government position.|181:1",name-content-and-level,0.717,,false,true,false,false,matched-disagrees,30,40000,0,0
32,18,s2-3,Stage 3 — Ghost beads at the Fort,Lv 31-34,"Temporary Fort of Geum-Ohee Castle, one side-trip to Geum-Oh Mine.",,1,Quest 25,Quest,25,Lv 31,31,"~35,000 XP, 1 Contribution Point",35000,0,1,0,true,"[""25.png""]","[""ms_m5_02.jpg""]","[{""type"":""talk"",""city"":""fort"",""pin"":""49"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Ghost Of Young Man for \""Wolf Tooth Necklace\""""},{""type"":""talk"",""city"":""fort"",""pin"":""49"",""label"":""Turn in""}]",Quest,25,Hunting Ghost,route-number-to-legacy-name,28,Hunting Ghost,31,35000,1,0,,Eliminate the Ghost of Young Man who attacks people and get the Heung-Pae's Necklace of Wolf's Tooth back for Heung-Pae in Temporary Fort of Geum-Ohee Castle.|209:1,exact-normalized-name,0.867,,false,false,false,false,matched-agrees-on-parsed-fields,31,35000,1,0
33,18,s2-3,Stage 3 — Ghost beads at the Fort,Lv 31-34,"Temporary Fort of Geum-Ohee Castle, one side-trip to Geum-Oh Mine.",,2,Quest 26,Quest,26,Lv 32,32,"~42,000 XP, 1 Contribution Point",42000,0,1,0,true,"[""26.png""]","[""ms_m5_03.jpg""]","[{""type"":""talk"",""city"":""fort"",""pin"":""60"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Ghost Of Young Woman for 10x \""Ghost Bead\""""},{""type"":""talk"",""city"":""fort"",""pin"":""60"",""label"":""Turn in""}]",Quest,26,Bead of Ghost,route-number-to-legacy-name,29,Bead of Ghost,32,42000,1,0,,"The Chief Guard, Duk-Yoon asked you to purify the Bead of Ghost containing Ghost of Young Woman. Purify 10 Beads of Ghosts and bring them to Duk-Yoon in Temporary Fort of Geum-Ohee Castle.|210:10,217:1",exact-normalized-name,0.858,,false,false,false,false,matched-agrees-on-parsed-fields,32,42000,1,0
34,18,s2-3,Stage 3 — Ghost beads at the Fort,Lv 31-34,"Temporary Fort of Geum-Ohee Castle, one side-trip to Geum-Oh Mine.",,3,Quest 27,Quest,27,Lv 33,33,"47,266 XP, 1 Skill Point",47266,0,0,1,false,"[""27.png""]","[""ms_m3_11.jpg""]","[{""type"":""talk"",""city"":""geum"",""pin"":""29"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Demon Commander for \""Demon Troops Confidential Document\"" (same mob as Event Quest 8)""},{""type"":""talk"",""city"":""geum"",""pin"":""29"",""label"":""Turn in""}]",Quest,27,Helping Yang-Do,route-number-to-legacy-name,24,Helping Yang-Do,33,47000,0,2,20,"The guard, Yang-Do wants to get a secret letter from the Demon commander for distinguishing credits. Get a secret letter from the Demon commander and give it to Yang-Do.|141:1",exact-normalized-name,0.827,,false,true,false,true,matched-disagrees,33,47000,0,2
35,18,s2-3,Stage 3 — Ghost beads at the Fort,Lv 31-34,"Temporary Fort of Geum-Ohee Castle, one side-trip to Geum-Oh Mine.",,4,Quest 28,Quest,28,Lv 34,34,"~62,000 XP, 1 Contribution Point",62000,0,1,0,true,"[""26.png""]","[""ms_m5_04.jpg""]","[{""type"":""talk"",""city"":""fort"",""pin"":""52"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Ghost Of Blacksmith for 10x \""Blacksmith Bead\""""},{""type"":""talk"",""city"":""fort"",""pin"":""52"",""label"":""Turn in""}]",Quest,28,Ghost of Blacksmith,route-number-to-legacy-name,30,Ghost of Blacksmith,34,62000,1,0,,"Purify 10 Beads of Blacksmithes and bring them to the Guard, Soo-Go in Temporary Fort of Geum-Ohee Castle.|211:10",exact-normalized-name,0.859,,false,false,false,false,matched-agrees-on-parsed-fields,34,62000,1,0
36,19,s2-4,Stage 4 — More Fort ghost beads,Lv 35-36,"Fort, one side-trip to Geum-Oh Mine.",,1,Quest 29,Quest,29,Lv 35,35,"~76,000 XP, 1 Contribution Point",76000,0,1,0,true,"[""26.png""]","[""ms_m5_05.jpg""]","[{""type"":""talk"",""city"":""fort"",""pin"":""45"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Ghost Guard for 10x \""Ghost Guard Bead\""""},{""type"":""talk"",""city"":""fort"",""pin"":""45"",""label"":""Turn in""}]",Quest,29,Ghost of Friends,route-number-to-legacy-name,31,Ghost of Friends,35,76000,1,0,,"Purify the 10 Beads of Ghosts of Guards and bring them to the Guard, Dan-Bok in Temporary Fort of Geum-Ohee Castle.|212:10",exact-normalized-name,0.856,,false,false,false,false,matched-agrees-on-parsed-fields,35,76000,1,0
37,19,s2-4,Stage 4 — More Fort ghost beads,Lv 35-36,"Fort, one side-trip to Geum-Oh Mine.",,2,Quest 30,Quest,30,Lv 36,36,"80,002 XP, 1 Contribution Point",80002,0,1,0,false,"[""30.png""]","[""ms_m4_04.jpg""]","[{""type"":""talk"",""city"":""geum"",""pin"":""4"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Demon Dragon Commander for \""Demon Water Dragon Commanders Skin\""""},{""type"":""talk"",""city"":""geum"",""pin"":""4"",""label"":""Turn in""}]",Quest,30,Joong-Gwon's Disease,route-number-to-legacy-name,25,Joong-Gwon's Disease,36,79000,1,0,15,Joong-Gwon became deaf because he was frightened when he saw the Demon Water Dragon. He may be cured if he get the Demon Water Dragon Commander's skin. Please get the Demon Water Dragon Commander's skin and give it to Gwee-Sik in Guem-Oh Mine.|168:1,exact-normalized-name,0.833,,false,true,false,false,matched-disagrees,36,79000,1,0
38,20,s2-5,Stage 5 — Fellow Traveller / Sealed Troop,Lv 37-39,Fort only.,,1,Quest 31,Quest,31,Lv 37,37,"~100,000 XP, 1 Contribution Point",100000,0,1,0,true,"[""26.png""]","[""ms_m5_06.jpg""]","[{""type"":""talk"",""city"":""fort"",""pin"":""1"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Fellow traveller to the other world for 10x \""Fellow Traveller Bead\""""},{""type"":""talk"",""city"":""fort"",""pin"":""1"",""label"":""Turn in""}]",Quest,31,Undetected Ghost,route-number-to-legacy-name,32,Undetected Ghost,37,80000,1,0,,"Purify the Ghost of Fellow Traveler to the Other World and bring 10 of them to the guard, Ga-Gee in Temporary Fort of Geum-Ohee Castle.|213:10",exact-normalized-name,0.853,,false,true,false,false,matched-disagrees,37,80000,1,0
39,20,s2-5,Stage 5 — Fellow Traveller / Sealed Troop,Lv 37-39,Fort only.,,2,Quest 32,Quest,32,Lv 38,38,"156,300 XP, 1 Skill Point",156300,0,0,1,false,"[""26.png""]","[""ms_m5_07.jpg""]","[{""type"":""talk"",""city"":""fort"",""pin"":""10"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Sealed ghost troop for 10x \""Sealed Troop Bead\""""},{""type"":""talk"",""city"":""fort"",""pin"":""10"",""label"":""Turn in""}]",Quest,32,Dilemma of Jae-Ga Troop's Scouts,route-number-to-legacy-name,33,Dilemma of Jae-Ga Troop's Scouts,38,90000,0,1,,Purify the Sealed Ghost Troop who attacks Jae-Ga Troop's Scouts and collect 10 Beads and bring them to Fort Guard [Soo-Sung] in Temporary Fort of Geum-Ohee Castle.|214:10,exact-normalized-name,0.842,,false,true,false,false,matched-disagrees,38,90000,0,1
40,20,s2-5,Stage 5 — Fellow Traveller / Sealed Troop,Lv 37-39,Fort only.,,3,Quest 33,Quest,33,Lv 39,39,"100,000 XP, 1 Contribution Point",100000,0,1,0,false,"[""33.png""]","[""ms_m6_03.jpg""]","[{""type"":""talk"",""city"":""fort"",""pin"":""19"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Devil Soldier With Bow for 10x \""Devil Soldier’s Bow\""""},{""type"":""talk"",""city"":""fort"",""pin"":""19"",""label"":""Turn in""}]",Quest,33,Devil Soldier with Bow,route-number-to-legacy-name,34,Devil Soldier with Bow,39,100000,1,0,,Collect 10 bows from the Devil Soldier Bow and bring them to Soldier from Troop of Jae-Ga [Yoo-Sang].|215:10,exact-normalized-name,0.893,,false,false,false,false,matched-agrees-on-parsed-fields,39,100000,1,0
41,21,s2-6,Stage 6 — Devil Soldier’s Spear,Lv 40,Fort only.,,1,Quest 34,Quest,34,Lv 40,40,"~110,000 XP, 1 Contribution Point",110000,0,1,0,true,"[""34.png""]","[""ms_m6_05.jpg""]","[{""type"":""talk"",""city"":""fort"",""pin"":""2"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Devil Soldier’s Spear for 10x \""Devil Soldier’s Spear\""""},{""type"":""talk"",""city"":""fort"",""pin"":""2"",""label"":""Turn in""}]",Quest,34,Lim-Gang's Favor,route-number-to-legacy-name,35,Lim-Gang's Favor,40,110000,1,0,,Collect 10 Devil Soldier's Spears from the Devil Soldier Spear and bring them to Lim-Gang in Temporary Fort of Geum-Ohee Castle.|216:10,exact-normalized-name,0.859,,false,false,false,false,matched-agrees-on-parsed-fields,40,110000,1,0
42,21,s2-6,Stage 6 — Devil Soldier’s Spear,Lv 40,Fort only.,,2,Event Quest 14,Event,14,Lv 40,40,"83,680 XP",83680,0,0,0,false,"[""ev6.png""]","[""ms_m7_07.jpg""]","[{""type"":""talk"",""city"":""fort"",""pin"":""20"",""label"":""Talk""},{""type"":""action"",""text"":""Find \""Green Crystal\"" from Devil Troops of Absorbing Green (on the way to d3, and around d1 gates)""},{""type"":""talk"",""city"":""fort"",""pin"":""20"",""label"":""Turn in""}]",Event,11,Green Crystal of Doggebi Forest,route-content-and-level-to-legacy-event-name,9007,[Event] Green of Doggebi Forest,40,0,0,0,9006,Eliminate the Devil Troops that are absorbing the green. Get the Green Crystal of Doggebi Forest and give it to Jae-Ga.|448:1,name-content-and-level,0.678,,false,true,false,false,matched-disagrees,40,0,0,0
43,22,s2-7,Stage 7 — To-Woo’s errand + Ghost Hunter masks,Lv 41,"Fort, with a trip out of town.",,1,Quest 35,Quest,35,Lv 41,41,"~116,825 XP",116825,0,0,0,true,"[""37.png""]","[""ms_m6_02.jpg""]","[{""type"":""talk"",""city"":""fort"",""pin"":""50"",""label"":""Talk""},{""type"":""talk"",""city"":""wild"",""pin"":""p12"",""label"":""Talk""},{""type"":""talk"",""city"":""wild"",""pin"":""m7"",""label"":""Kill for \""Head of Hyun-Woong’s Enemy\""""},{""type"":""talk"",""city"":""wild"",""pin"":""p12"",""label"":""Report""},{""type"":""talk"",""city"":""fort"",""pin"":""50"",""label"":""Turn in""}]",Quest,35,Dutiful Son and His Father,route-number-to-legacy-name,36,Dutiful Son and His Father,41,233650,0,0,,"To-Woo worries about his son, Hyun-Woong. To-Woo has a disease and he can't look around for his son. Look for his son for To-Woo.|;Hyun-Woong was killed when he seek the mountain for his father's medicine. But he still worries about his father though he has turned into a ghost. It was him who has been brought the medicine and meats to his father. However one day, the demons stole his meats and medicines. Bring the demon's head to Hyun-Woong. It is wandering around the abandoned fort.|335:1;Hyun-Woong doesn't want his father to know about his death. He just wants his father think that he travels around the world. Go to tell the father about Hyun-Woong.|",exact-normalized-name,0.817,,false,true,false,false,matched-disagrees,41,233650,0,0
44,22,s2-7,Stage 7 — To-Woo’s errand + Ghost Hunter masks,Lv 41,"Fort, with a trip out of town.",,2,Quest 36,Quest,36,Lv 41,41,"~194,790 XP",194790,0,0,0,true,[],"[""ms_m7_02.jpg""]","[{""type"":""talk"",""city"":""fort"",""pin"":""11"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Devil Troop Of Pain for 100x \""Devil Troop of Pain’s Mask\""""},{""type"":""talk"",""city"":""fort"",""pin"":""11"",""label"":""Turn in""}]",Quest,36,Mask of Pain,route-number-to-legacy-name,39,Eliminating Devil Troop of Pain,41,194790,0,0,,Bring 100 Devil Troop of Pain's Masks to Woo-Joong in Temporary Fort of Geum-Ohee Castle. The Devil Troop of Pain is in the Forest of Statues.|346:100,registered-name-alias,1.000,,false,false,false,false,matched-agrees-on-parsed-fields,41,194790,0,0
45,23,s2-8,Stage 8 — Red Flag Leader’s errand + Ghost Hunter masks,Lv 42,"Fort → Narootuh → Geum-Oh Mine → Fort, then out of town.",,1,Quest 37,Quest,37,Lv 42,42,"~140,708 XP",140708,0,0,0,true,"[""37.png""]",[],"[{""type"":""talk"",""city"":""fort"",""pin"":""44"",""label"":""Talk""},{""type"":""talk"",""city"":""naroo"",""pin"":""17"",""label"":""Talk""},{""type"":""talk"",""city"":""geum"",""pin"":""23"",""label"":""Talk""},{""type"":""talk"",""city"":""fort"",""pin"":""44"",""label"":""Report""},{""type"":""talk"",""city"":""wild"",""pin"":""m5"",""label"":""Kill for Head of Heuk-Yong""},{""type"":""talk"",""city"":""wild"",""pin"":""m6"",""label"":""Kill for Head of Dae-Ill""},{""type"":""talk"",""city"":""wild"",""pin"":""m1"",""label"":""Kill for Head of Yoo""},{""type"":""talk"",""city"":""wild"",""pin"":""m2"",""label"":""Kill for Head of Ma-Gwang""},{""type"":""talk"",""city"":""wild"",""pin"":""m3"",""label"":""Kill for Head of Goon-Sang-Ji""},{""type"":""talk"",""city"":""fort"",""pin"":""44"",""label"":""Turn in""}]",Quest,37,Assassins,route-number-to-legacy-name,38,"Favor of Gi-Jung, the Chief of the Volunteer Army of Justice",42,140708,0,0,,"The man who introduced himself as the chief of the Volunteer Army of Justice asks you for a help. He want you to investigate Hong-Joon. First, find Hawoo-Go the devoted retainer of Hong-Joon. Hawoo-Go is in the Village of Narootuh.|;Hawoo-Go is forced to say that he gave Hong-Joon's secret letter to Ma-Yong. It was correct that Hong-Joon is holding the power of the market. I just took the Hong-Joon's secret letter. Please get this to Ma-Yong. And find the transaction of trading between Hong-Joon and Ma-Yong. Ma-Yong is at Guem-Oh Mine.|340:1;Because Ma-Yong thinks you're the secret messenger of Hong-Joon, Ma-Yong give you the feedback for the secret letter. Now it's been cleared that Hong-Joon gave the money Ma-Yong for monopoly of market. Inform this fact to Gi-Jung, the chief of the Volunteer Army of Justice.|;When you met Gi-Jung, Gi-Jung tells you that Ma-Yong and Hong-Joon found out relationship between you and Gi-Jung. And they sent 5 assassins to Gi-Jung. Now, find the assassins and bring their heads to Gi-Jung.|341:1,342:1,343:1,344:1,345:1",registered-name-alias,1.000,,false,false,false,false,matched-agrees-on-parsed-fields,42,140708,0,0
46,23,s2-8,Stage 8 — Red Flag Leader’s errand + Ghost Hunter masks,Lv 42,"Fort → Narootuh → Geum-Oh Mine → Fort, then out of town.",,2,Quest 38,Quest,38,Lv 42,42,"~234,514 XP",234514,0,0,0,true,[],"[""ms_m7_03.jpg""]","[{""type"":""talk"",""city"":""fort"",""pin"":""12"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Devil Troop Of Greed for 100x \""Devil Troop of Greed’s Mask\""""},{""type"":""talk"",""city"":""fort"",""pin"":""12"",""label"":""Turn in""}]",Quest,38,Masks of Greed,route-number-to-legacy-name,40,Eliminating Devil Troop of Greed,42,234514,0,0,,Bring 100 Devil Troop of Greed's Masks to Joa-Ill in Temporary Fort of Geum-Ohee Castle. The Devil Troop of Greed is in the Forest of Statues.|347:100,registered-name-alias,1.000,,false,false,false,false,matched-agrees-on-parsed-fields,42,234514,0,0
